primary_type,hour,weekday,count
BATTERY,19,Tuesday,5535
BATTERY,19,Wednesday,5409
BATTERY,20,Friday,5719
BATTERY,20,Monday,5544
BATTERY,20,Saturday,5979
BATTERY,20,Sunday,6269
BATTERY,20,Thursday,5615
BATTERY,20,Tuesday,5623
BATTERY,20,Wednesday,5566
BATTERY,21,Friday,5948
BATTERY,21,Monday,5659
BATTERY,21,Saturday,6339
BATTERY,21,Sunday,6434
BATTERY,21,Thursday,5462
BATTERY,21,Tuesday,5399
BATTERY,21,Wednesday,5471
BATTERY,22,Friday,6594
BATTERY,22,Monday,5473
BATTERY,22,Saturday,7120
BATTERY,22,Sunday,6522
BATTERY,22,Thursday,5488
BATTERY,22,Tuesday,5426
BATTERY,22,Wednesday,5459
BATTERY,23,Friday,6672
BATTERY,23,Monday,4806
BATTERY,23,Saturday,7475
BATTERY,23,Sunday,5983
BATTERY,23,Thursday,5196
BATTERY,23,Tuesday,5060
BATTERY,23,Wednesday,5010
CRIMINAL DAMAGE,0,Friday,4256
CRIMINAL DAMAGE,0,Monday,4538
CRIMINAL DAMAGE,0,Saturday,4980
CRIMINAL DAMAGE,0,Sunday,5395
CRIMINAL DAMAGE,0,Thursday,3981
CRIMINAL DAMAGE,0,Tuesday,3835
CRIMINAL DAMAGE,0,Wednesday,3959
CRIMINAL DAMAGE,1,Friday,2400
CRIMINAL DAMAGE,1,Monday,2582
CRIMINAL DAMAGE,1,Saturday,3694
CRIMINAL DAMAGE,1,Sunday,3946
CRIMINAL DAMAGE,1,Thursday,2364
CRIMINAL DAMAGE,1,Tuesday,2261
CRIMINAL DAMAGE,1,Wednesday,2252
CRIMINAL DAMAGE,2,Friday,2141
CRIMINAL DAMAGE,2,Monday,2125
CRIMINAL DAMAGE,2,Saturday,3479
CRIMINAL DAMAGE,2,Sunday,3734
CRIMINAL DAMAGE,2,Thursday,1993
CRIMINAL DAMAGE,2,Tuesday,1911
CRIMINAL DAMAGE,2,Wednesday,1991
CRIMINAL DAMAGE,3,Friday,1904
CRIMINAL DAMAGE,3,Monday,1874
CRIMINAL DAMAGE,3,Saturday,2973
CRIMINAL DAMAGE,3,Sunday,3477
CRIMINAL DAMAGE,3,Thursday,1759
CRIMINAL DAMAGE,3,Tuesday,1594
CRIMINAL DAMAGE,3,Wednesday,1684
CRIMINAL DAMAGE,4,Friday,1491
CRIMINAL DAMAGE,4,Monday,1582
CRIMINAL DAMAGE,4,Saturday,2351
CRIMINAL DAMAGE,4,Sunday,2758
CRIMINAL DAMAGE,4,Thursday,1395
CRIMINAL DAMAGE,4,Tuesday,1346
CRIMINAL DAMAGE,4,Wednesday,1322
CRIMINAL DAMAGE,5,Friday,1299
CRIMINAL DAMAGE,5,Monday,1346
CRIMINAL DAMAGE,5,Saturday,1728
CRIMINAL DAMAGE,5,Sunday,2129
CRIMINAL DAMAGE,5,Thursday,1311
CRIMINAL DAMAGE,5,Tuesday,1128
CRIMINAL DAMAGE,5,Wednesday,1207
CRIMINAL DAMAGE,6,Friday,1432
CRIMINAL DAMAGE,6,Monday,1464
CRIMINAL DAMAGE,6,Saturday,1508
CRIMINAL DAMAGE,6,Sunday,1574
CRIMINAL DAMAGE,6,Thursday,1454
CRIMINAL DAMAGE,6,Tuesday,1448
CRIMINAL DAMAGE,6,Wednesday,1437
CRIMINAL DAMAGE,7,Friday,1873
CRIMINAL DAMAGE,7,Monday,2057
CRIMINAL DAMAGE,7,Saturday,1529
CRIMINAL DAMAGE,7,Sunday,1461
CRIMINAL DAMAGE,7,Thursday,1923
CRIMINAL DAMAGE,7,Tuesday,2004
CRIMINAL DAMAGE,7,Wednesday,1947
CRIMINAL DAMAGE,8,Friday,2314
CRIMINAL DAMAGE,8,Monday,2492
CRIMINAL DAMAGE,8,Saturday,1908
CRIMINAL DAMAGE,8,Sunday,1853
CRIMINAL DAMAGE,8,Thursday,2278
CRIMINAL DAMAGE,8,Tuesday,2351
CRIMINAL DAMAGE,8,Wednesday,2293
CRIMINAL DAMAGE,9,Friday,2426
CRIMINAL DAMAGE,9,Monday,2476
CRIMINAL DAMAGE,9,Saturday,2379
CRIMINAL DAMAGE,9,Sunday,2222
CRIMINAL DAMAGE,9,Thursday,2368
CRIMINAL DAMAGE,9,Tuesday,2418
CRIMINAL DAMAGE,9,Wednesday,2481
CRIMINAL DAMAGE,10,Friday,2132
CRIMINAL DAMAGE,10,Monday,2294
CRIMINAL DAMAGE,10,Saturday,2392
CRIMINAL DAMAGE,10,Sunday,2372
CRIMINAL DAMAGE,10,Thursday,2064
CRIMINAL DAMAGE,10,Tuesday,2193
CRIMINAL DAMAGE,10,Wednesday,2213
CRIMINAL DAMAGE,11,Friday,1976
CRIMINAL DAMAGE,11,Monday,2090
CRIMINAL DAMAGE,11,Saturday,2300
CRIMINAL DAMAGE,11,Sunday,2287
CRIMINAL DAMAGE,11,Thursday,2040
CRIMINAL DAMAGE,11,Tuesday,2023
CRIMINAL DAMAGE,11,Wednesday,1969
CRIMINAL DAMAGE,12,Friday,2545
CRIMINAL DAMAGE,12,Monday,2663
CRIMINAL DAMAGE,12,Saturday,2867
CRIMINAL DAMAGE,12,Sunday,2746
CRIMINAL DAMAGE,12,Thursday,2438
CRIMINAL DAMAGE,12,Tuesday,2470
CRIMINAL DAMAGE,12,Wednesday,2480
CRIMINAL DAMAGE,13,Friday,2137
CRIMINAL DAMAGE,13,Monday,2204
CRIMINAL DAMAGE,13,Saturday,2305
CRIMINAL DAMAGE,13,Sunday,2271
CRIMINAL DAMAGE,13,Thursday,2146
CRIMINAL DAMAGE,13,Tuesday,2049
CRIMINAL DAMAGE,13,Wednesday,2109
CRIMINAL DAMAGE,14,Friday,2486
CRIMINAL DAMAGE,14,Monday,2368
CRIMINAL DAMAGE,14,Saturday,2611
CRIMINAL DAMAGE,14,Sunday,2665
CRIMINAL DAMAGE,14,Thursday,2225
CRIMINAL DAMAGE,14,Tuesday,2389
CRIMINAL DAMAGE,14,Wednesday,2421
CRIMINAL DAMAGE,15,Friday,2877
CRIMINAL DAMAGE,15,Monday,2675
CRIMINAL DAMAGE,15,Saturday,2769
CRIMINAL DAMAGE,15,Sunday,2821
CRIMINAL DAMAGE,15,Thursday,2685
CRIMINAL DAMAGE,15,Tuesday,2645
CRIMINAL DAMAGE,15,Wednesday,2728
CRIMINAL DAMAGE,16,Friday,3190
CRIMINAL DAMAGE,16,Monday,2963
CRIMINAL DAMAGE,16,Saturday,3001
CRIMINAL DAMAGE,16,Sunday,2976
CRIMINAL DAMAGE,16,Thursday,2848
CRIMINAL DAMAGE,16,Tuesday,2883
CRIMINAL DAMAGE,16,Wednesday,2905
CRIMINAL DAMAGE,17,Friday,3807
CRIMINAL DAMAGE,17,Monday,3356
CRIMINAL DAMAGE,17,Saturday,3314
CRIMINAL DAMAGE,17,Sunday,3206
CRIMINAL DAMAGE,17,Thursday,3157
CRIMINAL DAMAGE,17,Tuesday,3285
CRIMINAL DAMAGE,17,Wednesday,3241
CRIMINAL DAMAGE,18,Friday,4018
CRIMINAL DAMAGE,18,Monday,3687
CRIMINAL DAMAGE,18,Saturday,3562
CRIMINAL DAMAGE,18,Sunday,3447
CRIMINAL DAMAGE,18,Thursday,3672
CRIMINAL DAMAGE,18,Tuesday,3712
CRIMINAL DAMAGE,18,Wednesday,3694
CRIMINAL DAMAGE,19,Friday,3748
CRIMINAL DAMAGE,19,Monday,3459
CRIMINAL DAMAGE,19,Saturday,3792
CRIMINAL DAMAGE,19,Sunday,3436
CRIMINAL DAMAGE,19,Thursday,3448
CRIMINAL DAMAGE,19,Tuesday,3539
CRIMINAL DAMAGE,19,Wednesday,3370
CRIMINAL DAMAGE,20,Friday,4027
CRIMINAL DAMAGE,20,Monday,3651
CRIMINAL DAMAGE,20,Saturday,3852
CRIMINAL DAMAGE,20,Sunday,3711
CRIMINAL DAMAGE,20,Thursday,3665
CRIMINAL DAMAGE,20,Tuesday,3634
CRIMINAL DAMAGE,20,Wednesday,3613
CRIMINAL DAMAGE,21,Friday,4092
CRIMINAL DAMAGE,21,Monday,3620
CRIMINAL DAMAGE,21,Saturday,4172
CRIMINAL DAMAGE,21,Sunday,3946
CRIMINAL DAMAGE,21,Thursday,3732
